id,calm,energetic,happy,sad,name,artists,album,release_date,popularity
2cOUlop2ZakjOKe4WinesN,0.0078722201287746,0.432784765958786,0.4259323179721832,0.1334107518196106,Slow Hands, Niall Horan,Flicker (Deluxe),2017-10-20,79
0iwsQWgtjSq2kUXuZwTDAL,0.003232300048694,0.5062957406044006,0.4106572866439819,0.0798146203160286,Home with You, Madison Beer,As She Pleases,2018-02-02,68
6OKKfwf75kQ4veyLktYV7F,0.0557952187955379,0.0693088620901107,0.1123803332448005,0.762515664100647,Only You, Selena Gomez,13 Reasons Why (A Netflix Original Series Score),2017-03-30,61
2GyA33q5rti5IxkMQemRDH,0.0039165299385786,0.4999474287033081,0.4097073078155517,0.0864287167787551,I Know What You Did Last Summer, Shawn Mendes Camila Cabello,Handwritten,2015-04-14,76
466s1BacUmiRdR3ISvNjyx,0.0044937101192772,0.5003758668899536,0.3897572457790375,0.1053731068968772,Bang Bang, Jessie J Ariana Grande Nicki Minaj,My Everything (Deluxe),2014-08-25,65
1t1xXsK199Yte7oJbE7Uoe,0.0199771896004676,0.306089848279953,0.3343286216259002,0.3396043479442596,Comfortable (feat. Kranium), Bebe Rexha Kranium,All Your Fault: Pt. 2,2017-08-11,45
10GJQkjRJcZhGTLagFOC62,0.0089729102328419,0.4239121675491333,0.4130228757858276,0.1540920734405517,Most Girls, Hailee Steinfeld,Most Girls,2017-04-28,77
6oG7bmUn7ws0qYEJ0eEbeG,0.0036124701146036,0.5286476612091064,0.3994467854499817,0.0682930722832679,Touch, Little Mix,Glory Days: The Platinum Edition,2017-11-24,3
01qMOMudbkIHZS9BFPUGNk,0.0121270297095179,0.3956693708896637,0.3991843461990356,0.193019226193428,Let It Be Me (feat. Ava Max), David Guetta Ava Max,7,2018-09-14,56
2ls70nUDfjzm1lSRDuKxmw,0.0069696400314569,0.4453746676445007,0.4126708507537842,0.1349848359823227,Blank Space, Taylor Swift,1989,2014-01-01,69
56twMOlq9DJc3EgpVUVIrW,0.0363074392080307,0.1221261397004127,0.1737620830535888,0.6678043007850647,Stone Cold, Demi Lovato,Confident (Deluxe Edition),2015-10-16,65
2xmrfQpmS2iJExTlklLoAL,0.018633859232068,0.3112955391407013,0.3460331261157989,0.3240374326705932,I Miss You (feat. Julia Michaels), Clean Bandit Julia Michaels,I Miss You (feat. Julia Michaels),2017-10-26,2
1almCHdsfikRPfVB9VrEdT,0.046889841556549,0.0523759387433528,0.0873031467199325,0.8134311437606812,Little Do You Know, Alex & Sierra,It's About Us,2014-10-06,78
4M0pT9kNYndhyPw15ZDR8C,0.0080100996419787,0.4734722673892975,0.3905215263366699,0.1279961317777633,Let You Love Me - Möwe Remix, Rita Ora Möwe,Let You Love Me (Möwe Remix),2018-10-19,54
5HwnezK198pJCEj1l2Adjy,0.0061880000866949,0.4718833863735199,0.4094392657279968,0.1124893724918365,She Loves Control, Camila Cabello,Camila,2018-01-12,65
6h5PAsRni4IRlxWr6uDPTP,0.0038777000736445,0.5125019550323486,0.4052323698997497,0.0783880576491355,More Than You Know, Axwell /\ Ingrosso,More Than You Know,2017-07-28,82
7jhlKPpAUqgV1m6AOTO19U,0.0109034301713109,0.4123690724372864,0.403338611125946,0.1733889430761337,Too Much (feat. Timbaland), ZAYN Timbaland,Too Much (feat. Timbaland),2018-08-02,0
22BH6K8RlpwNzIINvWS4Jj,0.0031626001000404,0.5429445505142212,0.3966488540172577,0.0572439916431903,(Not) The One, Bebe Rexha,All Your Fault: Pt. 2,2017-08-11,51
2z7UKVsBdbA7HFPunDKDP4,0.009006829932332,0.4326886832714081,0.397780567407608,0.160523921251297,Strawberries & Cigarettes, Troye Sivan,"Love, Simon (Original Motion Picture Soundtrack)",2018-03-16,1
3RBluWmSoG2pGA1OePzGJI,0.0032517800573259,0.4954627454280853,0.4102743864059448,0.0910109877586364,The Story Of Us, Taylor Swift,Speak Now,2010-10-25,67
0afhq8XCExXpqazXczTSve,0.0023613600060343,0.5687358379364014,0.3838697075843811,0.0450330600142478,Galway Girl, Ed Sheeran,÷ (Deluxe),2017-03-03,81
0kThmY7A0ynir2qLWFFhrY,0.0045206798240542,0.4807536005973816,0.4194140136241913,0.09531170129776,On The Loose, Niall Horan,Flicker (Deluxe),2017-10-20,63
3vub8awVQgbBHzGIzPXdkZ,0.002355369972065,0.5584748983383179,0.3895798325538635,0.04958987981081,Boogie Wonderland, Mr. Belt & Wezol,Boogie Wonderland,2016-12-23,50
6FA8BHbnRqIBvGve3tQx7m,0.0072683598846197,0.4483053088188171,0.4161433577537536,0.1282830387353897,"Like A Riddle (feat. Hearts & Colors, Adam Trigger)", Felix Jaehn Hearts & Colors Adam Trigger,"Like A Riddle (feat. Hearts & Colors, Adam Trigger)",2017-10-06,24
6X7PK2UQMUU36ux9pynSkV,0.0058691999875009,0.471853107213974,0.415809690952301,0.1064679324626922,Drive (feat. Delilah Montagu) - Edit, Black Coffee David Guetta Delilah Montagu,Drive (feat. Delilah Montagu),2018-08-24,46
6SjCa7LhEpPNiCxe3bLln4,0.0036774401087313,0.5275952219963074,0.4032554924488067,0.0654718801379203,Made In The USA, Demi Lovato,Demi,2013-01-01,59
5JEx7HbmvHQQswJCsoo9rA,0.0038191499188542,0.523761510848999,0.3938604891300201,0.07855886220932,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding Diplo Swae Lee,Close To Me (feat. Swae Lee),2018-10-24,70
3t0J8vI9StQD8KIBkT2Cp5,0.0067311897873878,0.4486173987388611,0.4073848724365234,0.1372665762901306,Tired - Kygo Remix, Alan Walker Gavin James Kygo,Tired (Kygo Remix),2017-07-14,61
0DC7Zs2qvAbNK1owWQ4mlL,0.0046307099983096,0.4791805148124695,0.4031473100185394,0.1130414381623268,Perfect to Me, Anne-Marie,Perfect to Me,2018-11-02,68
4edS9dC0JPBlSS4p4gMOT0,0.0095912795513868,0.411197692155838,0.4048414528369903,0.1743695735931396,This Feeling (feat. Kelsea Ballerini), The Chainsmokers Kelsea Ballerini,Sick Boy...Siren,2018-10-26,0
575NJxNUVDqwJGdzBrlLbv,0.003008659929037,0.5596553087234497,0.3835998773574829,0.0537361614406108,Lost In Japan - Remix, Shawn Mendes Zedd,Lost In Japan (Remix),2018-09-27,65
5p7ujcrUXASCNwRaWNHR1C,0.015213600359857,0.3239847123622894,0.3569317460060119,0.3038699030876159,Without Me, Halsey,Without Me,2018-10-04,82
1h0yImRPIVAjhhHeNVlTuC,0.036135658621788,0.1678374260663986,0.2169017940759658,0.5791250467300415,Youth (feat. Khalid), Shawn Mendes Khalid,Shawn Mendes,2018-05-25,69
5tAa8Uaqr4VvA3693mbIhU,0.0170108992606401,0.3070281445980072,0.3336722254753113,0.3422886729240417,Ruin My Life, Zara Larsson,Ruin My Life,2018-10-18,72
2bzitsPcImYC6DZWvvLCQi,0.0116889402270317,0.4007620811462402,0.4042634665966034,0.1832854598760604,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""", Imagine Dragons,Origins (Deluxe),2018-11-09,72
2FY7b99s15jUprqC0M5NCT,0.0213200096040964,0.2983181476593017,0.3407427966594696,0.3396190702915191,Natural, Imagine Dragons,Origins (Deluxe),2018-11-09,83
5IF6IBPqbclVR7SQKmCIyA,0.0078141698613762,0.4529992938041687,0.3796946406364441,0.159491941332817,Just Like You, Louis Tomlinson,Just Like You,2017-10-12,62
27SdWb2rFzO6GWiYDBTD9j,0.004834990017116,0.4870863556861877,0.4172424674034118,0.0908361226320266,Cheap Thrills, Sia,This Is Acting,2016-01-29,80
6yIdwnpDHufLWgQcveTPMk,0.0143809597939252,0.3628821074962616,0.3760835230350494,0.2466533184051513,I Don’t Wanna Live Forever (Fifty Shades Darker), ZAYN Taylor Swift,I Don’t Wanna Live Forever (Fifty Shades Darker),2016-12-09,3
4hQ6UGyWQIGJmHSo0J88JW,0.0081061003729701,0.434060275554657,0.4057025611400604,0.1521310210227966,Back To You - From 13 Reasons Why – Season 2 Soundtrack, Selena Gomez,Back To You (From 13 Reasons Why – Season 2 Soundtrack),2018-05-10,77
6kPJZM97LwdG9QIsT7khp6,0.0051958197727799,0.4849424660205841,0.4094370901584625,0.100424587726593,Solo (feat. Demi Lovato), Clean Bandit Demi Lovato,Solo (feat. Demi Lovato),2018-05-17,75
003eoIwxETJujVWmNFMoZy,0.0015955700073391,0.6667261719703674,0.3227132558822632,0.0089650396257638,Growing Pains, Alessia Cara,Growing Pains,2018-06-15,50
4keoy2fqgwGnbWlm3ZVZFa,0.0353118516504764,0.151109516620636,0.2019519805908203,0.6116266250610352,Happy Now, Zedd Elley Duhé,Happy Now,2018-07-18,74
0STK94RxUulYqWzwFlyAb5,0.0948212370276451,0.048119481652975,0.0818711221218109,0.7751882672309875,Sober, Demi Lovato,Sober,2018-06-21,72
2BgEsaKNfHUdlh97KmvFyo,0.0042533599771559,0.5045424103736877,0.4119680523872375,0.0792362317442894,2002, Anne-Marie,Speak Your Mind (Deluxe),2018-04-27,84
7fa9MBXhVfQ8P8Df9OEbD8,0.0293155498802661,0.1610840559005737,0.2141952216625213,0.5954052209854126,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5 Cardi B,Red Pill Blues (Deluxe),2018-06-15,77
6xtcFXSo8H9BZN637BMVKS,0.0085677504539489,0.4450172781944275,0.3882438838481903,0.1581710577011108,Let You Love Me, Rita Ora,Let You Love Me,2018-09-21,65
083Qf6hn6sFL6xiOHlZUyn,0.0056556002236902,0.480668306350708,0.408342033624649,0.1053340286016464,I'll Be There, Jess Glynne,I'll Be There,2018-05-03,67
1YNQscOx6OqBQjxgJVhEeW,0.0072869998402893,0.4450798034667969,0.4129148423671722,0.1347182840108871,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)", Rita Ora Bebe Rexha Charli XCX Cardi B,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",2018-05-11,57
3u1S1OmAUhx5DRlLrXqyp3,0.0112626897171139,0.3912270665168762,0.3800239264965057,0.2174863070249557,Rise, Jonas Blue Jack & Jack,Rise,2018-05-25,72
5N5k9nd479b1xpDZ4usjrg,0.0035525800194591,0.5217048525810242,0.4038466513156891,0.0708959624171257,Promises (with Sam Smith), Calvin Harris Sam Smith Jessie Reyez,Promises (with Sam Smith),2018-08-17,79
2zy9TMoZlYGuCNY4TLqG24,0.0107469698414206,0.3971240520477295,0.3956509232521057,0.1964780390262603,Don't Leave Me Alone (feat. Anne-Marie), David Guetta Anne-Marie,7,2018-09-14,57
6Z0CSptkTKzOpownOPnK5g,0.0032744100317358,0.5109066963195801,0.4106230139732361,0.0751959010958671,Lullaby, Sigala Paloma Faith,Brighter Days,2018-09-28,58
54l9GJGQ1UCFKe2tzt1Vxt,0.006671620067209,0.4750559329986572,0.4018024504184723,0.1164701133966445,Only You (with Little Mix), Cheat Codes Little Mix,Only You (with Little Mix),2018-06-22,63
3D1rlKmZdpYUeMtRRLNawc,0.001335070002824,0.6026660799980164,0.364194244146347,0.0318046696484088,Let Me Live (feat. Anne-Marie & Mr Eazi), Rudimental Major Lazer Anne-Marie Mr Eazi,Let Me Live (feat. Anne-Marie & Mr Eazi),2018-06-15,57
7Fg342AJtNsIDdwCfX0paC,0.0160858407616615,0.3101324141025543,0.3332457244396209,0.3405360281467438,Let Me, ZAYN,Let Me,2018-04-12,2
1E1uGhNdBe6Dddbgs2KqtZ,0.0112727601081132,0.3756902515888214,0.3803077638149261,0.2327293008565902,Jumpsuit, Twenty One Pilots,Trench,2018-10-05,71
3aW0ds4A4tSQDIp75FqWTo,0.0082935597747564,0.4444113969802856,0.4045611619949341,0.1427339166402816,FAKE LOVE, BTS,Love Yourself 轉 'Tear',2018-05-18,76
29VLdEqFvd0l4JFscCnrp7,0.0033367399591952,0.5160849094390869,0.4066252708435058,0.0739530399441719,Just My Type, The Vamps,Night & Day (Day Edition),2018-07-13,67
5SehvGGC53A7SZKCLXQcyt,0.0040316800586879,0.5160752534866333,0.3988073468208313,0.0810857489705085,Nico and the Niners, Twenty One Pilots,Trench,2018-10-05,70
6NFyWDv5CjfwuzoCkw47Xf,0.0331376791000366,0.2071745842695236,0.2756050527095794,0.4840827584266662,Delicate, Taylor Swift,reputation,2017-11-10,80
4eWQlBRaTjPPUlzacqEeoQ,0.0108805000782012,0.3860555589199066,0.3742231726646423,0.2288408130407333,Never Be the Same, Camila Cabello,Camila,2018-01-12,77
3pSfoP1xZllxEuZ6Oh6ebn,0.0062860399484634,0.4575500786304474,0.408945083618164,0.1272188425064087,Ring Ring (feat. Mabel & Rich The Kid), Jax Jones Mabel Rich The Kid,Ring Ring,2018-06-22,56
4J4zx8xGJpuGndrVc06KaT,0.0115455500781536,0.4221217632293701,0.3802651464939117,0.1860675811767578,Diamond Heart, Alan Walker Sophia Somajo,Diamond Heart,2018-09-28,64
0Y4hwUppbGc8aIBmiTz30A,0.0014427700079977,0.598569393157959,0.36674964427948,0.0332382582128047,Familiar, Liam Payne J Balvin,Familiar,2018-04-20,63
2jZIfoe48eUeOEnP9Ho4h2,0.0068309199996292,0.4517777860164642,0.4128113090991974,0.1285800486803054,No One Compares To You, Jack & Jack,No One Compares To You,2018-10-05,0
4fouWK6XVHhzl78KzQ1UjL,0.0155218699946999,0.3599227964878082,0.3624168336391449,0.2621384561061859,abcdefu, GAYLE,abcdefu,2021-08-13,99
0gplL1WMoJ6iYaPgMCL0gX,0.0423780381679534,0.0721063166856765,0.1144696399569511,0.771045982837677,Easy On Me, Adele,Easy On Me,2021-10-14,100
