song_id,mood_vec,song_name,song_artists
4btFHqumCO31GksfuBLLv3,[0.00098867 0.6030903  0.3644496  0.03147148],Overpass Graffiti, Ed Sheeran
58kZ9spgxmlEznXGu6FPdQ,[0.01308053 0.38361648 0.39896005 0.20434295],Sick Boy, The Chainsmokers
6M31fPFCYB8Job3MCjjrDV,[0.00819214 0.42415404 0.39351755 0.17413631],They Don't Know About Us, One Direction
4iLqG9SeJSnt0cSPICSjxv,[0.00632078 0.44758105 0.41912797 0.12697022],Attention, Charlie Puth
0azC730Exh71aQlOt9Zj3y,[0.00818282 0.41510728 0.3778613  0.19884865],This Is What You Came For (feat. Rihanna), Calvin Harris Rihanna
1rfofaqEpACxVEHIZBJe6W,[0.01602833 0.32568145 0.36132607 0.2969642 ],Havana (feat. Young Thug), Camila Cabello Young Thug
32DGGj6KlNuBr6WaqRxpxi,[0.00739519 0.43233714 0.41283625 0.14743136],How Long, Charlie Puth
79cuOz3SPQTuFrp8WgftAu,[0.00700063 0.43197158 0.39718804 0.1638398 ],There's Nothing Holdin' Me Back, Shawn Mendes
6EpRaXYhGOB3fj4V2uDkMJ,[0.01615716 0.3240411  0.36530057 0.2945012 ],Strip That Down, Liam Payne Quavo
2ekn2ttSfGqwhhate0LSR0,[0.00386696 0.5071012  0.41142294 0.07760894],New Rules, Dua Lipa
3A7qX2QjDlPnazUsRk5y0M,[0.00842343 0.4229014  0.3897922  0.1788829 ],2U (feat. Justin Bieber), David Guetta Justin Bieber
7qiZfU4dY1lWllzX7mPBI3,[0.01887578 0.25847512 0.30247593 0.4201731 ],Shape of You, Ed Sheeran
1x5sYLZiu9r5E43kMlt9f8,[0.01305722 0.35470492 0.3664458  0.26579198],Symphony (feat. Zara Larsson), Clean Bandit Zara Larsson
3hBBKuWJfxlIlnd9QFoC8k,[0.00866681 0.42524663 0.40764883 0.15843768],What Lovers Do (feat. SZA), Maroon 5 SZA
3m660poUr1chesgkkjQM7P,[0.0013041  0.6038959  0.36341706 0.03138296],Sorry Not Sorry, Demi Lovato
7nZmah2llfvLDiUjm0kiyz,[0.00356501 0.5270378  0.403622   0.06577515],Friends (with BloodPop®), Justin Bieber BloodPop®
5troof8mcGO3AafoDbk1gc,[0.00685671 0.45122933 0.40056756 0.14134642],Look What You Made Me Do, Taylor Swift
3AFfyUXTfj12PgrOkZiiJo,[0.002343   0.5585236  0.3895689  0.04956452],Treat You Better, Shawn Mendes
1louJpMmzEicAn7lzDalPW,[0.00423028 0.49529323 0.4130618  0.08741476],No Promises (feat. Demi Lovato), Cheat Codes Demi Lovato
5AEtlRudpgdT5FtNiuly6Y,[0.00469234 0.49097866 0.416168   0.08816104],"Let Me Go (with Alesso, Florida Georgia Line & watt)", Hailee Steinfeld Alesso Florida Georgia Line WATT
3DXncPQOG4VBw3QHh3S817,[0.00627785 0.4390456  0.415408   0.1392686 ],"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)", DJ Khaled Justin Bieber Quavo Chance the Rapper Lil Wayne
0Qh38w01QRXK6KHIv0e3hb,[0.01306364 0.3503374  0.37408158 0.2625174 ],What About Us, P!nk
2xmrfQpmS2iJExTlklLoAL,[0.01863386 0.31129554 0.34603313 0.32403743],I Miss You (feat. Julia Michaels), Clean Bandit Julia Michaels
0KKkJNfGyhkQ5aFogxQAPU,[0.00351275 0.50010616 0.41434157 0.08203954],That's What I Like, Bruno Mars
1OAh8uOEOvTDqkKFsKksCi,[0.00519434 0.4771926  0.41622412 0.10138897],Wild Thoughts (feat. Rihanna & Bryson Tiller), DJ Khaled Rihanna Bryson Tiller
4c2W3VKsOFoIg2SFaO6DY5,[0.00481251 0.47067025 0.42116472 0.10335257],Your Song, Rita Ora
6kex4EBAj0WHXDKZMEJaaF,[0.00299063 0.53260136 0.4017612  0.06264681],Swalla (feat. Nicki Minaj & Ty Dolla $ign), Jason Derulo Nicki Minaj Ty Dolla $ign
1NDxZ7cFAo481dtYWdrUnR,[0.00575622 0.4585257  0.40283915 0.13287891],Pretty Girl - Cheat Codes X CADE Remix, Maggie Lindemann Cheat Codes CADE
3eR23VReFzcdmS7TYCrhCe,[0.01201396 0.3764124  0.39511913 0.21645455],It Ain't Me (with Selena Gomez), Kygo Selena Gomez
2kVHAQKVtczchKctctzbtK,[0.00449712 0.4807299  0.41496325 0.09980971],Swish Swish, Katy Perry Nicki Minaj
5CtI0qwDJkDQGwXD1H1cLb,[0.00591598 0.4639878  0.40712416 0.12297211],Despacito - Remix, Luis Fonsi Daddy Yankee Justin Bieber
7iDa6hUg2VgEL1o1HjmfBn,[0.00304196 0.5283377  0.40362957 0.06499071],Meant to Be (feat. Florida Georgia Line), Bebe Rexha Florida Georgia Line
3ebXMykcMXOcLeJ9xZ17XH,[0.01141913 0.390599   0.38366115 0.21432073],Scared to Be Lonely, Martin Garrix Dua Lipa
7EI6Iki24tBHAMxtb4xQN2,[0.00677325 0.4570512  0.40534943 0.13082609],Anywhere, Rita Ora
6520aj0B4FSKGVuKNsOCOi,[0.00222799 0.54531276 0.38676187 0.06569736],Chained To The Rhythm, Katy Perry Skip Marley
61WbtB6ujkpNAsAf5LjF4b,[0.0053287  0.48257512 0.4065644  0.10553176],Bon appétit, Katy Perry Migos
0Wv5wuenRLI3BcwgT3HPIP,[0.02260166 0.25292915 0.29004398 0.43442523],A Different Way (with Lauv), DJ Snake Lauv
76cy1WJvNGJTj78UqeA5zr,[0.00738431 0.44020015 0.4189544  0.1334611 ],IDGAF, Dua Lipa
0gbBzIqrECJOEPvQJIBFs5,[0.00673291 0.45279253 0.40654916 0.1339255 ],Green Light, Lorde
6Pw3Gvw4wNMZfTYZa6IQal,[0.00277556 0.539114   0.39215747 0.06595301],The Way I Are (Dance with Somebody) (feat. Lil Wayne) - Spotify Version, Bebe Rexha Lil Wayne
2z4pcBLQXF2BXKFvd0BuB6,[0.00451895 0.49792817 0.41404176 0.08351114],Tip Toe (feat. French Montana), Jason Derulo French Montana
5Htb1uFQ1KrkFXlefS8oGj,[0.0130313  0.37986812 0.390822   0.21627855],Tell Me You Love Me, Demi Lovato
02gj0J38nzyO9lNi9mzi3A,[0.00087167 0.6220703  0.35147917 0.02557887],Power (feat. Stormzy), Little Mix Stormzy
1NXDq5UBby80GsRNjGXVwE,[0.00389241 0.50910723 0.40577376 0.08122665],No More Sad Songs (feat. Machine Gun Kelly), Little Mix Machine Gun Kelly
6W6ijKiufUsBBcgJPKis6T,[0.00284461 0.5323759  0.40203556 0.06274397],Is Your Love Enough?, Little Mix
3EfugazgSddQvzZpkof5I4,[0.00535326 0.4878782  0.40103456 0.10573394],Ciao Adios, Anne-Marie
2vHDurkzJ8dhCzoPzqiE2C,[0.00705583 0.44641665 0.4112136  0.13531394],Por Favor - Spanglish Version, Fifth Harmony Pitbull
05KfyCEE6otdlT1pp2VIjP,[0.00218679 0.5596595  0.38914943 0.04900433],Believer, Imagine Dragons
7BKLCZ1jbUBVqRi2FVlTVw,[0.0238603  0.22365536 0.28410548 0.46837878],Closer, The Chainsmokers Halsey
23L5CiUhw2jV1OIMwthR3S,[0.01191919 0.40191445 0.3779213  0.20824501],In the Name of Love, Martin Garrix Bebe Rexha
4tCtwWceOPWzenK2HAIJSb,[0.00895529 0.40991503 0.41029918 0.1708305 ],Work from Home (feat. Ty Dolla $ign), Fifth Harmony Ty Dolla $ign
6uBhi9gBXWjanegOb2Phh0,[0.01400966 0.35215375 0.37195924 0.26187736],Stay, Zedd Alessia Cara
0lYBSQXN6rCTvUZvg9S0lU,[0.01315455 0.38207954 0.38429677 0.22046919],Let Me Love You, DJ Snake Justin Bieber
7MXVkk9YMctZqd1Srtv4MB,[0.00256672 0.5397997  0.39281213 0.06482141],Starboy, The Weeknd Daft Punk
12GEpg2XOPyqk03JZEZnJs,[0.01201396 0.3764124  0.39511913 0.21645455],It Ain’t Me (with Selena Gomez), Kygo Selena Gomez
5knuzwU65gJK7IF5yJsuaW,[0.01323684 0.33860576 0.35213175 0.29602566],Rockabye (feat. Sean Paul & Anne-Marie), Clean Bandit Sean Paul Anne-Marie
2Z8WuEywRWYTKe1NybPQEW,[0.00728166 0.44977555 0.41949517 0.12344764],Ride, Twenty One Pilots
1pKeFVVUOPjFsOABub0OaV,[0.00148921 0.58525896 0.37517712 0.03807474],Side To Side, Ariana Grande Nicki Minaj
7xoUc6faLbCqZO6fQEYprd,[0.01502595 0.3474321  0.36785886 0.26968306],One Last Time, Ariana Grande
4Ce37cRWvM1vIGGynKcs22,[0.0204541 0.2916429 0.3300022 0.3579008],Starving, Hailee Steinfeld Grey Zedd
762UXiwEHYY97VL45sAUPR,[0.00851086 0.42133597 0.38918108 0.18097205],2U, David Guetta Justin Bieber
0prNGof3XqfTvNDxHonvdK,[0.00547946 0.48003414 0.41106915 0.10341733],Scars To Your Beautiful, Alessia Cara
37FXw5QGFN7uwwsLy8uAc0,[0.03620429 0.15774393 0.2066742  0.5993776 ],We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth Selena Gomez
7DoN0sCGIT9IcLrtBDm4f0,[0.01430288 0.3715867  0.3808948  0.23321557],Lonely Together (feat. Rita Ora), Avicii Rita Ora
6b8Be6ljOzmkOmFslEb23P,[0.00328596 0.51952314 0.40714785 0.07004305],24K Magic, Bruno Mars
2SZy40PLDk3vFucXUGFCFA,[0.00437462 0.49453264 0.4082947  0.09279799],You Don't Know Me, Jax Jones RAYE
